gene,start,end,strand,product
ybiY,934632,935531,c,glycyl-radical enzyme activating protein
moeB,935809,936558,c,molybdopterin-synthase adenylyltransferase MoeB
moeA,936558,937799,c,molybdopterin molybdenumtransferase MoeA
iaaA,937996,938937,,isoaspartyl peptidase
gsiA,938948,940819,,glutathione import ATP-binding protein GsiA
gsiB,940852,942390,,glutathione-binding protein GsiB
gsiC,942451,943371,,glutathione ABC transporter permease
gsiD,943374,944285,,glutathione ABC transporter permease
rimO,944376,945701,c,ribosomal protein S12 methylthiotransferase RimO
bssR,945932,946315,,transcriptional regulator BssR
B0X74_06195,947028,947543,,citrate lyase beta chain-like protein
B0X74_06200,947566,948315,,electron transfer flavoprotein subunit beta
B0X74_06205,948326,949273,,electron transfer flavoprotein subunit alpha
B0X74_06215,949567,950730,,acyl-CoA dehydrogenase
B0X74_06220,950755,950946,,uncharacterized protein
B0X74_06225,951179,952864,,dehydrogenase (flavoprotein)
B0X74_06230,952870,953760,c,LysR family transcriptional regulator
B0X74_06235,954025,954450,c,putative permease
yliI,954797,955477,,IS1 transposase-YliI putative fusion protein
gstB,955474,956100,c,glutathione S-transferase
dacC,956344,957546,,serine-type D-Ala-D-Ala carboxypeptidase
deoR,957591,958349,c,DNA-binding transcriptional repressor DeoR
ybjG,958421,959029,c,undecaprenyl-diphosphatase
mdfA,959342,960574,,multidrug transporter MdfA
ybjI,960628,961443,c,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
ybjJ,961440,962651,c,MFS transporter YbjJ
rcdA,962819,963439,,HTH-type transcriptional regulator RcdA
ybjL,963556,965241,c,putative transporter YbjL
ybjM,965512,965889,,putative inner membrane protein
grxA,965921,966184,c,glutaredoxin
ybjC,966354,966644,,DUF1418 domain protein
nfsA,966628,967350,,nitroreductase A
rimK,967408,968310,,ribosomal protein S6--L-glutamate ligase
ybjN,968407,968883,,YbjN domain-containing protein
potF,969232,970344,,spermidine/putrescine ABC transporter substrate-binding protein PotF
potG,970432,971565,,polyamine ABC transporter ATP-binding protein PotG
potH,971575,972528,,putrescine ABC transporter permease PotH
potI,972525,973370,,putrescine ABC transporter permease PotI
ybjO,973444,973917,,DUF2593 domain protein
rlmC,973960,975090,,23S rRNA (uracil-5-)-methyltransferase RlmC
ulaA3,975373,976716,,putative PTS ascorbate transporter subunit IIC
B0X74_06355,976746,977066,,PTS sugar transporter IIB
B0X74_06360,977076,978563,,sulfatase
B0X74_06365,978560,978760,c,uncharacterized protein
artJ,978782,979513,c,arginine/ornithine ABC transporter substrate-binding protein
artM,979750,980418,c,arginine transporter permease subunit ArtM
artQ,980418,981134,c,arginine transporter permease subunit ArtQ
artI,981141,981872,c,arginine/ornithine ABC transporter substrate-binding protein
artP,981890,982618,c,arginine ABC transporter ATP-binding protein ArtP
ybjP,982848,983363,c,lipoprotein
ybjQ,983491,983814,,putative heavy-metal-binding YbjQ
amiD,983811,984641,,N-acetylmuramoyl-L-alanine amidase
ybjS,984638,985651,c,putative nucleoside-diphosphate-sugar epimerase
ybjT,985747,987180,c,NAD(P)-dependent oxidoreductase
ltaE,987191,988192,c,low-specificity L-threonine aldolase
poxB,988231,989949,c,pyruvate oxidase
hcr,990107,991078,c,hybrid-cluster NAD(P)-dependent oxidoreductase
hcp,991087,992739,c,hydroxylamine reductase
ybjE,992883,993782,c,DUF340 domain protein YbjE
ybjD,993984,995642,,ATP-dependent endonuclease
ybjX,995639,996589,c,virulence factor VirK
macA,996735,997853,,macrolide transporter subunit MacA
macB,997850,999796,,macrolide ABC transporter permease/ATP-binding protein MacB
cspD,999926,1000147,c,cold shock domain protein CspD
clpS,1000471,1000791,,ATP-dependent Clp protease adaptor ClpS
clpA,1000822,1003098,,ATP-dependent Clp protease ATP-binding subunit ClpA
B0X74_06495,1003290,1003748,,IS200/IS605 family transposase
B0X74_06510,1004211,1005466,c,ISSen1 transposase (IS3 family)
ycaC,1005803,1006480,c,isochorismatase family hydrolase YcaC
yhhW,1006500,1007360,c,"quercetin 2,3-dioxygenase"
acT,1007469,1008380,,LysR family transcriptional regulator
infA,1008471,1008689,c,translation initiation factor IF-1
B0X74_06540,1008617,1009000,c,uncharacterized protein
aat,1009001,1009705,c,leucyl/phenylalanyl-tRNA--protein transferase
cydC,1009750,1011471,c,cysteine/glutathione ABC transporter ATP-bindingprotein/permease CydC
cydD,1011472,1013238,c,thiol reductant ABC exporter subunit CydD
trxB,1013352,1014320,c,thioredoxin-disulfide reductase
lrp,1014866,1015360,,leucine-responsive regulatory protein
ftsK,1015495,1019550,,DNA translocase FtsK
lolA,1019693,1020304,,outer membrane lipoprotein carrier protein LolA
rarA,1020314,1021657,,recombination factor protein RarA
serS,1021916,1023208,,serine--tRNA ligase
dmsA,1023445,1025889,,dimethyl sulfoxide reductase subunit A
dmsB,1025900,1026517,,"dimethylsulfoxide reductase, chain B"
dmsC,1026519,1027382,,dimethyl sulfoxide reductase
ycaD,1027732,1028880,,MFS transporter
ycaM,1029098,1030519,,transporter
pflA,1030812,1031609,c,pyruvate formate lyase 1-activating protein PflA
sopD2,1032185,1033144,,secreted effector protein sopD2
pflB,1033220,1035502,c,formate acetyltransferase
focA,1035562,1036419,c,formate transporter FocA
ycaO,1036824,1038593,c,ribosomal protein S12 methylthiotransferase accessory factor YcaO
ycaP,1038721,1039413,,DUF421 domain-containing protein
serC,1039599,1040687,,3-phosphoserine/phosphohydroxythreonine aminotransferase
aroA,1040758,1042041,,3-phosphoshikimate 1-carboxyvinyltransferase
ycaL,1042184,1042945,,metalloprotease
cmk,1043118,1043801,,cytidylate kinase
rpsA,1043915,1045588,,30S ribosomal protein S1
ihfB,1045744,1046028,,integration host factor subunit beta
ycaI,1046258,1048522,,ComEC family protein
msbA,1048559,1050307,,lipid A export ATP-binding/permease MsbA
lpxK,1050304,1051281,,tetraacyldisaccharide 4'-kinase
ycaQ,1051325,1052557,,putative DNA-binding protein
ycaR,1052609,1052791,,PRK11827 family protein
kdsB,1052788,1053534,,3-deoxy-manno-octulosonate cytidylyltransferase
ycbJ,1053745,1054638,,PRK10593 family protein
elyC,1054618,1055394,c,envelope biogenesis factor
smtA,1055530,1056333,,tRNA uridine 5-oxyacetic acid(34) methyltransferase CmoM
mukF,1056326,1057648,,chromosome partition protein MukF
mukE,1057629,1058333,,condensin subunit E
mukB,1058333,1062799,,chromosome partition protein MukB
ldtD,1063144,1064985,,"L,D-transpeptidase"
ycbK,1065245,1065793,,outer membrane protein
ycbL,1065821,1066468,,type II glyoxalase
aspC,1066530,1067720,c,aspartate aminotransferase
ompF,1067905,1068996,c,outer membrane porin F
asnS,1069603,1071003,c,asparagine--tRNA ligase
B0X74_06780,1071204,1071665,c,Lrp family transcriptional regulator
B0X74_06785,1071662,1071895,c,uncharacterized protein
ygeX,1071982,1073196,,diaminopropionate ammonia-lyase
B0X74_06795,1073441,1074877,,sodium:alanine symporter family protein
pncB,1074955,1076157,c,nicotinate phosphoribosyltransferase
B0X74_06805,1076352,1077692,c,bacteriophage Gifsy-2 integrase
xis,1077689,1077937,c,Gifsy-2 phage excisionase
B0X74_06815,1077978,1078217,c,"DUF4060 domain, Gifsy-2 phage protein"
B0X74_06820,1078260,1079369,c,RecT family protein
recE2,1079380,1082580,c,Gifsy-2 prophage exonuclease VIII (RecE)
B0X74_06830,1082707,1082994,c,putative Gifsy-2 prophage protein
B0X74_06835,1083534,1083959,c,Gifsy-2 phage putative transcriptional regulator
B0X74_06840,1084074,1084301,,transcriptional regulator
B0X74_06845,1084336,1084656,,Gifsy-2 phage transcriptional activator protein
B0X74_06850,1084741,1085724,,replication protein O (phage Gifsy-2)
dnaC2,1085727,1086476,,DNA replication protein DnaC
B0X74_06860,1086487,1086834,,DUF977 domain protein (Gifsy-2 phage)
B0X74_06865,1086831,1087289,,Ea22 like protein (Gifsy-2 phage)
B0X74_06870,1087293,1087601,,uncharacterized protein (Gifsy-2 phage)
B0X74_06875,1087605,1088249,,uncharacterized protein (Gifsy-2 phage)
B0X74_06880,1088249,1088506,,uncharacterized protein (Gifsy-2 phage)
B0X74_06885,1088561,1089538,c,DUF4868 domain protein (Gifsy-2 phage)
B0X74_06890,1089550,1090146,c,uncharacterized protein (Gifsy-2 phage)
dinI2,1090738,1090971,,DNA damage-inducible protein DinI (Gifys-2 phage)
B0X74_06900,1091081,1091302,,uncharacterized protein (Gifsy-2 phage)
B0X74_06905,1091387,1091989,,DUF1367 domain protein (Gifsy-2 phage)
B0X74_06910,1091989,1092195,,uncharacterized protein (Gifsy-2 phage)
ninG2,1092198,1092809,,phage protein NinG
B0X74_06920,1092943,1093632,,prophage antitermination protein Q
B0X74_06925,1093827,1093952,,uncharacterized protein (Gifsy-2 phage)
B0X74_06930,1094088,1094537,c,uncharacterized protein (Gifsy-2 phage)
pipA2,1094898,1095584,c,PipA family type III secretion system effector (Gifsy-2 phage)
hol2,1095854,1096189,,"holin, lambda family (Gifsy-2 phage)"
B0X74_06945,1096176,1096625,,phage lysozyme/muraminidase (Gifsy-2 phage)
B0X74_06950,1096622,1097089,,bacteriophage Rz lysis protein
B0X74_06952,1096845,1097051,,bacteriophage lysis protein Rz1
B0X74_06955,1097329,1097544,,uncharacterized protein (Gifsy-2 phage)
terS,1097558,1098103,,"phage terminase, small subunit"
terL,1098075,1098935,,"phage terminase, large subunit (GpA)"
B0X74_06970,1098976,1099227,,phage tail tape measure protein
B0X74_06975,1099227,1099556,,phage tail tip assembly protein
ail,1099656,1100153,,attachment invasion locus (Ail/OmpX)
sodC1,1100270,1100803,c,superoxide dismutase [Cu-Zn] 1
B0X74_06990,1100893,1101588,,phage minor tail protein L
B0X74_06995,1101598,1102335,,phage tail protein
B0X74_07000,1102233,1102937,,tail assembly protein
B0X74_07005,1103009,1106359,,phage host specificity protein J
B0X74_07010,1106398,1106640,,uncharacterized protein (Gifsy-2 phage)
B0X74_07015,1106694,1109132,,Gifsy-2 phage tail fiber protein
B0X74_07020,1109132,1109713,,Gifsy-2 phage side tail fiber assembly protein
sseI,1110189,1111157,,secreted effector protein SseI
yedK,1111805,1112431,c,Gifsy-2 phage YedK-like (DUF159 family) protein
B0X74_07045,1112500,1112799,c,putative Gifsy-2 phage protein
gtgE,1112784,1113470,c,Gifsy-2 phage encoded virulence protein GtgE
msgA,1113741,1114007,c,virulence protein MsgA (Gifsy-2 phage)
pepN,1114359,1116971,,aminopeptidase N
pyrD,1117179,1118189,,dihydroorotate dehydrogenase (quinone)
zapC,1118355,1118897,,cell division protein ZapC
ycbX,1118894,1120003,c,6-N-hydroxylaminopurine detoxification oxidoreductase
rlmL,1120102,1122210,,ribosomal RNA large subunit methyltransferase K/L
uup,1122223,1124130,,DNA-binding ATPase involved in replication Uup
pqiA,1124145,1125398,,paraquat-inducible protein A
pqiB,1125403,1127043,,paraquat-inducible protein B
pqiC,1127040,1127603,,periplasmic lipoprotein PqiC(YmbA)
rmf,1127859,1128026,,ribosome modulation factor
fabA,1128126,1128644,c,beta-hydroxydecanoyl-ACP dehydratase
ycbZ,1128713,1130473,c,Lon protease family protein YcbZ
matP,1130659,1131111,,macrodomain Ter protein
ompA,1131183,1132235,c,porin OmpA
sulA,1132592,1133101,c,cell division inhibitor SulA
sxy,1133318,1133923,,DNA transformation protein
yccS,1133910,1136063,c,TIGR01666 family membrane protein
yccF,1136082,1136528,c,DUF307 domain protein
helD,1136652,1138706,,DNA helicase IV HelD
mgsA,1138742,1139200,c,methylglyoxal synthase
yccT,1139295,1139957,c,PRK03641 family protein
yccU,1140128,1140544,,CoA-binding protein
hspQ,1140589,1140906,c,heat-shock protein HspQ
rlmI,1140964,1142175,c,ribosomal RNA large subunit methyltransferase I
ybcL,1142390,1142938,,phospholipid-binding (PEBP) protein
ybcM,1142964,1143743,,AraC family transcriptional regulator
yccX,1143792,1144073,,acylphosphatase
tusE,1144070,1144399,c,sulfurtransferase TusE
yccA,1144486,1145145,c,modulator of FtsH protease
B0X74_07205,1145211,1145420,,uncharacterized protein
pipA,1145766,1146446,c,pathogenicity island-encoded protein A (PipA)
pipB,1146668,1147543,c,secreted effector protein PipB
B0X74_07225,1147803,1148081,,uncharacterized protein
pipC,1148091,1148432,c,type III secretion chaperone protein SigE
sopB,1148449,1150134,c,inositol phosphatase SopB
B0X74_07240,1150466,1150636,,DUF3950 domain-containing protein
B0X74_07245,1150668,1150853,,uncharacterized protein
pipD,1150856,1152325,c,dipeptidase
copS,1152498,1153862,c,two-component sensor histidine kinase
copR,1153855,1154601,c,DNA-binding response regulator CopR
hiuH,1154671,1155081,,5-hydroxyisourate hydrolase
B0X74_07270,1155235,1155417,,uncharacterized protein
hpaC,1155414,1155926,c,4-hydroxyphenylacetate 3-monooxygenase reductase component
hpaB,1155944,1157506,c,"4-hydroxyphenylacetate 3-monooxygenase, oxygenase component"
hpaR,1157724,1158164,c,"homoprotocatechuate degradation operon regulator, HpaR"
hpaG,1158439,1159728,,4-hydroxyphenylacetate degradation protein
hpaE,1159725,1161191,,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
hpaD,1161193,1162044,,"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
hpaF,1162054,1162434,,5-carboxymethyl-2-hydroxymuconate delta-isomerase
hpaH,1162577,1163380,,"2-oxo-hepta-3-ene-1,7-dioic acid hydratase"
hpaI,1163391,1164182,,"4-hydroxy-2-oxo-heptane-1,7-dioate aldolase"
hpaX,1164254,1165630,,4-hydroxyphenylacetate permease
hpaA,1165640,1166536,,4-hydroxyphenylacetate catabolism regulatory protein HpaA
B0X74_07330,1166550,1167488,,MBL fold metallo-hydrolase
iraM,1167896,1168258,c,anti-adapter protein IraM
B0X74_07340,1168706,1168861,,uncharacterized protein
cbpM,1168912,1169217,c,chaperone modulatory protein CbpM
cbpA,1169217,1170137,c,curved DNA-binding protein
scsA,1170372,1170734,,copper resistance protein ScsA
scsB,1170783,1172669,,protein-disulfide reductase ScsB
scsC,1172666,1173289,,disulfide oxidoreductase protein ScsC
scsD,1173279,1173785,,protein disulfide oxidoreductase ScsD
agp,1173918,1175159,,bifunctional glucose-1-phosphatase/inositol phosphatase
yccJ,1175193,1175420,c,protein YccJ
wrbA,1175441,1176037,c,NAD(P)H dehydrogenase (quinone)
ymdF,1176422,1176589,,KGG family protein
rutR,1176726,1177364,,pyrimidine utilization regulatory protein R
B0X74_07405,1177361,1177756,c,DUF1311 domain protein
putA,1177815,1181777,c,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase (PutA)
putP,1182199,1183707,,sodium:proline symporter
phoH-1,1184325,1184621,,phosphate starvation-inducible protein PhoH-1
phoH-2,1184534,1185388,,phosphate starvation protein PhoH
B0X74_07435,1185494,1186375,c,MurR/RpiR family transcriptional regulator
B0X74_07440,1186660,1188156,c,NIS family sialic acid transporter
B0X74_07445,1188270,1188479,c,uncharacterized protein
nanE,1188493,1189173,c,N-acetylmannosamine-6-phosphate 2-epimerase NanE
nanM,1189679,1190839,,N-acetylneuraminate epimerase
nanC,1190885,1191577,,oligogalacturonate-specific porin protein NanC
yjhB,1191860,1193140,,putative sialic acid transporter
yjhC,1193154,1194257,,putative dehydrogenase
B0X74_07490,1194938,1195102,c,uncharacterized protein
ghrA,1195101,1196039,,glyoxylate/hydroxypyruvate reductase A
ycdX,1196124,1196861,,alkaline phosphatase
ycdY,1196885,1197439,,chaperone protein YcdY
ycdZ,1197540,1198022,,"DUF1097 domain, inner membrane protein YcdZ"
csgG,1198061,1198894,c,curli production assembly/transport component CsgG
csgF,1198921,1199337,c,curli production assembly/transport component CsgF
csgE,1199364,1199759,c,curli production assembly/transport component CsgE
csgD,1199764,1200414,c,transcriptional regulator CsgD
B0X74_07535,1201000,1201170,c,uncharacterized protein
csgB,1201169,1201624,,minor curlin subunit CsgB
csgA,1201666,1202121,,curlin
csgC,1202183,1202509,,curli assembly protein CsgC
ymdA,1202640,1202960,,uncharacterized protein YmdA
ymdB,1203049,1203588,,O-acetyl-ADP-ribose deacetylase
clsC,1203524,1205011,,putative cardiolipin synthase C
mdoC,1205028,1206182,c,glucan biosynthesis protein C
mdoG,1206454,1207989,,glucan biosynthesis protein G (MdoG)
mdoH,1207982,1210525,,glucan biosynthesis protein H
yceK,1210599,1210826,,YceK/YidQ family lipoprotein
msyB,1210827,1211201,c,SecY/SecA suppressor protein
mdtG,1211283,1212497,c,multidrug resistance protein MdtG
lpxL,1212652,1213572,c,lipid A biosynthesis lauroyl acyltransferase
yceA,1213792,1214844,,rhodanese-related sulfurtransferase
yceI,1214896,1215471,c,polyisoprenoid-binding periplasmic protein YceI
yceJ,1215468,1216040,c,cytochrome b561 like protein
B0X74_07630,1216051,1216254,,uncharacterized protein
yceO,1216303,1216416,c,DUF2770 domain-containing protein
solA,1216457,1217575,c,N-methyl-L-tryptophan oxidase
bssS,1217688,1217945,c,transcriptional regulator BssS
dinI,1218232,1218477,c,DNA damage-inducible protein I
pyrC,1218551,1219597,c,dihydroorotase
yceB,1219702,1220262,c,DUF1439 domain family lipoprotein
grxB,1220387,1221034,c,glutaredoxin 2
mdtH,1221098,1222306,c,multidrug resistance protein MdtH
rimJ,1222543,1223127,,ribosomal protein S5 alanine N-acetyltransferase
yceH,1223163,1223810,,DUF480 domain-containing protein
mviM,1223812,1224735,,virulence factor MviM
mviN,1225039,1226574,,lipid II flippase MviN/MurJ
flgN,1226656,1227078,c,flagella synthesis protein FlgN
flgM,1227083,1227376,c,anti-sigma-28 factor FlgM
flgA,1227468,1228127,c,flagella basal body P-ring formation protein FlgA
flgB,1228284,1228700,,flagellar biosynthesis protein FlgB
flgC,1228704,1229108,,flagellar basal body rod protein FlgC
flgD,1229120,1229818,,flagellar basal body rod modification protein FlgD
flgE,1229845,1231056,,flagellar hook protein FlgE
flgF,1231077,1231832,,flagellar basal body rod protein FlgF
flgG,1231846,1232628,,flagellar basal body rod protein FlgG
flgH,1232683,1233381,,flagellar L-ring protein
flgI,1233387,1234490,,flagellar P-ring protein FlgI
flgJ,1234490,1235440,,peptidoglycan hydrolase FlgJ
flgK,1235505,1237166,,flagellar hook-associated protein 1
flgL,1237181,1238134,,flagellar hook-associated protein FlgL
rne,1238391,1241594,c,ribonuclease E
yceQ,1241730,1241978,,DUF2655 domain protein YceQ
rluC,1242168,1243127,,ribosomal large subunit pseudouridine synthase C
B0X74_07785,1243265,1244026,,DUF3053 domain protein
B0X74_07790,1244232,1244456,,uncharacterized protein
yceF,1244528,1245112,c,Maf-like protein YceF
yceD,1245310,1245831,,large ribosomal RNA subunit accumulation protein YceD
rpmF,1245883,1246056,,50S ribosomal protein L32
plsX,1246190,1247269,,phosphate acyltransferase
fabH,1247349,1248302,,3-oxoacyl-ACP synthase III
fabD,1248318,1249247,,malonyl CoA-ACP transacylase
fabG,1249260,1249994,,beta-ketoacyl-ACP reductase FabG
acpP,1250150,1250386,,acyl carrier protein
fabF,1250472,1251713,,beta-ketoacyl-[acyl-carrier-protein] synthase II
pabC,1251837,1252646,,aminodeoxychorismate lyase
yceG,1252649,1253671,,cell division protein YceG
tmk,1253661,1254302,,thymidylate kinase
holB,1254299,1255303,,DNA polymerase III subunit delta'
ycfH,1255314,1256111,,putative DNAse YcfH
ptsG,1256406,1257839,,PTS glucose EIICB component
fhuE,1257924,1260098,c,TonB-dependent siderophore receptor
hinT,1260440,1260799,,purine nucleoside phosphoramidase
ycfL,1260802,1261176,,uncharacterized protein YcfL
lpoB,1261190,1261828,,penicillin-binding protein activator LpoB
thiK,1261809,1262633,,thiamine kinase
nagZ,1262644,1263669,,beta-hexosaminidase
ycfP,1263694,1264236,,UPF0227 family protein
ndh,1264491,1265795,,"NADH dehydrogenase, FAD-containing subunit"
ycfJ,1265974,1266513,,COG3134 family protein
ycfQ,1266588,1267223,c,transcriptional repressor (TetR/AcrR family)
bhsA,1267465,1267722,,multiple stress resistance protein BhsA
ldtC,1267819,1268784,c,"L,D-transpeptidase"
mfd,1268932,1272378,c,transcription-repair coupling factor
lolC,1272716,1273915,,outer membrane-specific lipoprotein transporter subunit LolC
lolD,1273908,1274609,,lipoprotein ABC transporter ATP-binding protein LolD
lolE,1274609,1275853,,lipoprotein transporter subunit LolE
nagK,1275882,1276793,,N-acetylglucosamine kinase
cobB,1276812,1277633,,NAD-dependent protein deacylase
potD,1277715,1278761,c,spermidine/putrescine-binding periplasmic protein
potC,1278786,1279565,c,spermidine/putrescine ABC transporter permease PotC
sifA,1279881,1280891,c,secreted effector protein SifA
potB,1281220,1282083,c,spermidine/putrescine ABC transporter permease
potA,1282067,1283203,c,Fe3+/spermidine/putrescine ABC transporter ATP-binding protein
pepT,1283454,1284683,,peptidase T
B0X74_07995,1284687,1286021,,putative periplasmic protein
roxA,1286061,1287182,c,50S ribosomal protein L16 arginine hydroxylase
phoQ,1287263,1288726,c,virulence sensor histidine kinase PhoQ
phoP,1288726,1289400,c,two-component system response regulator PhoP
purB,1289524,1290894,c,adenylosuccinate lyase
hflD,1290898,1291539,c,lysogenization protein HflD
mnmA,1291626,1292732,c,tRNA 2-thiouridine(34) synthase MnmA
nudJ,1292786,1293247,c,nudix-like NDP and NTP phosphohydrolase NudJ
lprI,1293259,1293588,c,COG4461 family protein LprI
rluE,1293585,1294250,c,23S rRNA pseudouridine synthase E
icdA,1294422,1295672,,isocitrate dehydrogenase (NADP(+))
sopF,1296120,1297244,,effector protein SopF
B0X74_08055,1297399,1297647,,uncharacterized protein
B0X74_08060,1297701,1297904,c,uncharacterized protein
envF,1298226,1299014,c,lipoprotein EnvF
msgA,1299503,1299742,c,virulence protein MsgA
envE,1299933,1300454,c,lipoprotein EnvE
cspH,1300869,1301081,c,cold-shock protein CspH
pagD,1301213,1301476,c,Virulence protein PagD
pagC,1302289,1302846,,virulence membrane protein PagC
pliC,1304083,1304424,c,lysozyme inhibitor
B0X74_08110,1304805,1304930,,uncharacterized protein
ibp,1305551,1306021,,small heat-shock protein
B0X74_08120,1306360,1307403,,putative neuraminidase (sialidase)
yodB,1307486,1308016,c,cytochrome b561
B0X74_08130,1308165,1308479,c,TRL-like family protein
B0X74_08135,1309161,1310795,,ABC transporter substrate-binding protein
B0X74_08140,1310792,1311769,,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
B0X74_08145,1311759,1312571,,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
B0X74_08150,1312565,1313362,,ABC-type glutathione transport system ATPase component
B0X74_08155,1313356,1313946,,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"
mscS,1314028,1315161,c,mechanosensitive ion channel protein MscS
yhjQ,1315355,1315681,,four-helix bundle copper-binding protein
zinT,1315875,1316525,,metal-binding protein ZinT
aadA,1316634,1317422,,aminoglycoside resistance protein
B0X74_08185,1317567,1318160,,LuxR family transcriptional regulator
B0X74_08190,1318229,1319077,,transcriptional regulator
ymgB,1319332,1319580,c,histidine kinase
aroQ,1319891,1320436,,chorismate mutase AroQ
leuE,1320633,1321271,,leucine efflux protein
yeaR,1321444,1321806,,uncharacterized protein YeaR
yoaG,1321809,1321991,,DUF1869 domain-containing protein
B0X74_08230,1322215,1322862,,uncharacterized protein
B0X74_08235,1322984,1323169,,uncharacterized protein
yeaQ,1323177,1323425,,UPF0410 protein YeaQ
yoaF,1323858,1324109,,uncharacterized protein YoaF
B0X74_08250,1324178,1324489,,uncharacterized protein
yeaO,1324475,1324822,c,MarR family transcriptional regulator
yeaN,1324941,1326125,c,cyanate MFS transporter
yeaM,1326226,1327020,,AraC family transcriptional regulator YeaM
yeaL,1327000,1327446,c,DUF441 family protein
yeaK,1327756,1328283,c,YbaK-like domain protein
yeaJ,1328324,1329817,c,putative membrane-anchored diguanylate cyclase
yeaH,1330458,1331744,c,UPF0229 protein YeaH
yeaG,1331867,1333801,c,PrkA family serine protein kinase
mipA,1334228,1334974,,MltA-interacting protein MipA
aslB3,1335264,1336460,,anaerobic sulfatase maturation enzyme AslB2
yeaE,1336557,1337414,,aldo/keto reductase YeaE
yeaD,1337513,1338397,c,D-hexose-6-phosphate mutarotase
B0X74_08315,1338397,1338573,c,uncharacterized protein
gapA,1338732,1339727,c,glyceraldehyde 3-P dehydrogenase A
msrB,1340039,1340482,,peptide methionine sulfoxide reductase MsrB
yeaC,1340524,1340802,,DUF1315 domain protein YeaC
pncA,1341154,1341810,c,nicotinamidase/pyrazinamidase
ansA,1341837,1342853,c,L-asparaginase 1
sppA,1342949,1344805,c,signal peptide peptidase SppA
ydjA,1344979,1345530,,putative NAD(P)H nitroreductase YdjA
selD,1345648,1346691,,selenophosphate synthetase SelD
topB,1346696,1348645,,DNA topoisomerase III
gdhA,1348675,1350018,c,glutamate dehydrogenase
ynjH,1350257,1350532,,DUF1496 domain protein
nudG,1350492,1350908,c,CTP pyrophosphohydrolase
xthA,1350981,1351787,c,exodeoxyribonuclease III
B0X74_08385,1351922,1352101,,uncharacterized protein
astC,1352233,1353459,,succinylornithine aminotransferase
astA,1353450,1354484,,arginine N-succinyltransferase
astD,1354481,1355959,,N-succinylglutamate 5-semialdehyde dehydrogenase
astB,1355956,1357299,,succinylarginine dihydrolase
astE,1357292,1358260,,succinylglutamate desuccinylase
B0X74_08415,1358297,1358512,,uncharacterized protein
spy,1358596,1359081,,ATP-independent periplasmic protein-refolding chaperone
cho,1359156,1360064,c,nucleotide excision repair endonuclease
nadE,1360158,1360985,c,NAD(+) synthetase
osmE,1361204,1361545,,transcriptional activator OsmE
chbB,1361846,1362166,,"PTS system N,N'-diacetylchitobiose-specific transporter subunit IIB"
chbC,1362249,1363607,,"PTS N,N'-diacetylchitobiose transporter subunit IIC"
chbA,1363658,1364005,,PTS N N'-diacetylchitobiose transporter subunit IIA
chbR,1364016,1364858,,transcriptional regulator ChbR
chbF,1364983,1366338,,6-phospho-beta-glucosidase
chbG,1366351,1367109,,chitooligosaccharide deacetylase
katE,1367153,1369405,c,heme-dependent catalase KatE
B0X74_08480,1369462,1369710,c,uncharacterized protein
cedA,1369770,1370012,,cell division activator CedA
ydjN,1370114,1371505,c,L-cystine transporter
ydjM,1371642,1372241,c,membrane-bound metal-dependent hydrolase
hxpB,1372379,1373047,c,2-deoxyglucose-6-phosphatase
yniB,1373196,1373732,,inner membrane protein YniB
yniA,1373775,1374635,c,fructosamine kinase family protein
ydiZ,1374742,1375032,c,GhoS endonuclease (antitoxin) family protein YdiZ
pfkB,1375129,1376061,c,6-phosphofructokinase II
ydiY,1376350,1377108,,putative salt-induced outer membrane protein YdiY
B0X74_08530,1377157,1378116,c,"DUF2219 domain, outer membrane protein"
B0X74_08535,1378259,1378573,,uncharacterized protein
nucA,1378570,1379424,,endonuclease
B0X74_08545,1379597,1379803,,uncharacterized protein
rfc,1380126,1381349,c,O-antigen polymerase
thrS,1382241,1384169,,threonine--tRNA ligase
infC,1384173,1384715,,translation initiation factor IF-3
rpmI,1384811,1385008,,50S ribosomal protein L35
rplT,1385059,1385415,,50S ribosomal protein L20
pheS,1385717,1386700,,phenylalanine--tRNA ligase subunit alpha
pheT,1386716,1389103,,phenylalanine--tRNA ligase subunit beta
ihfA,1389108,1389407,,integration host factor subunit alpha
btuC,1389610,1390590,,vitamin B12 import system permease BtuC
btuE,1390682,1391233,,glutathione peroxidase
btuD,1391233,1391982,,vitamin B12 import ATP-binding protein BtuD
nlpC,1392059,1392523,,lipoprotein
ydiV,1392837,1393550,,anti-FlhC(2)FlhD(4) factor YdiV
ydiU,1393612,1395054,,UPF0061 family protein
hemP,1395089,1395280,c,hemin uptake protein HemP
aroH,1395437,1396483,c,phospho-2-dehydro-3-deoxyheptonate aldolase Trp-sensitive
ppsR,1396639,1397472,c,phosphoenolpyruvate synthase regulatory protein
ppsA,1397809,1400187,,phosphoenolpyruvate synthase
